index,year,week,deaths,year.month,n_days,deaths.s,pop,pop.0to65,temp.max,temp.min,t.min,t.max,covid,covid.m,covid.w,covid.0to65,covid.65to80,covid.80plus,deaths.pc,share.m,counter
1997.1,1997,1,386,1997.01,-2,540.4,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.62807444011348,50.85115121942246,-12
1997.2,1997,2,568,1997.01,0,568,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.126285704622944,50.85115121942246,-12
1997.3,1997,3,480,1997.01,0,480,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.59967806024474,50.85115121942246,-12
1997.4,1997,4,540,1997.01,0,540,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.049637817775334,50.85115121942246,-12
1997.5,1997,5,495,1997.02,0,495,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.71216799962739,50.85115121942246,-12
1997.6,1997,6,481,1997.02,0,481,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.673844056203585,50.85115121942246,-12
1997.7,1997,7,514,1997.02,0,514,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.12132192284541,50.85115121942246,-12
1997.8,1997,8,508,1997.02,0,508,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.67632594709235,50.85115121942246,-12
1997.9,1997,9,520,1997.03,0,520,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.56631789859847,50.85115121942246,-12
1997.10,1997,10,488,1997.03,0,488,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.19300602791549,50.85115121942246,-12
1997.11,1997,11,500,1997.03,0,500,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.082997979421606,50.85115121942246,-12
1997.12,1997,12,467,1997.03,0,467,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.63552011277978,50.85115121942246,-12
1997.13,1997,13,481,1997.03,0,481,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.673844056203585,50.85115121942246,-12
1997.14,1997,14,506,1997.04,0,506,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.527993955174665,50.85115121942246,-12
1997.15,1997,15,472,1997.04,0,472,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.006350092573996,50.85115121942246,-12
